,id,title,quantityOptions,available,productType,crossSellSKUList,nixProduct,stickerBadges,sample,prices.price.currency,prices.price.amount,prices.unitPrice.unit,prices.unitPrice.price.currency,prices.unitPrice.price.amount,imageInfo.primaryView,badgesToDisplay.leftTop.image,badge.image,quantity,promotion.id,promotion.name,promotion.label,promotion.image,promotion.fromDate,promotion.toDate,promotion.validityPeriod,promotion.summary,promotion.offline,promotion.tags,promotion.badgeImage.main,promotion.stickerBadges,promotion.enablePromoAssistance,unavailabilityReason,reason,prices.promotionalPrice.currency,prices.promotionalPrice.amount
350,300206STK,Jumbo - Rozijnen Krentenbollen - 6 Stuks,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,['https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/tht-2+.png'],False,EUR,129,piece,EUR,22.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/230720202310_300206STK-1_360x360.png', 'height': 360, 'width': 360}]",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,6 stuks,,,,,,,,,,,,,,,,,
351,332394PAK,Jumbo Reuze Mergpijpen met Frambozenvulling 350g,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,[],False,EUR,99,kg,EUR,283.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/010520210459_332394PAK-1_360x360.png', 'height': 360, 'width': 360}]",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,350 g,,,,,,,,,,,,,,,,,
352,348974POT,Dawtona Appelmoes 720g,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,[],False,EUR,66,kg,EUR,90.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/190920200437_348974POT-1_360x360.png', 'height': 360, 'width': 360}]",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,720 g,,,,,,,,,,,,,,,,,
353,465875ZK,Migo Peren 1kg,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,[],False,EUR,199,kg,EUR,199.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/261120210905_465875ZK-1_360x360.png', 'height': 360, 'width': 360}]",,,1 kg,,,,,,,,,,,,,,,,,
354,183568STK,Sweet Sensation Peren 4 Stuks,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,[],False,EUR,299,piece,EUR,75.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/031120200301_183568STK-1_360x360.png', 'height': 360, 'width': 360}]",,,4 stuks,,,,,,,,,,,,,,,,,
355,329514ZK,Jumbo Fijne Soepgroente 400 g - Voordeelverpakking,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,['https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/tht-3+.png'],False,EUR,136,kg,EUR,340.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/111220190552_329514ZK-1_360x360.png', 'height': 360, 'width': 360}]",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,400 g,,,,,,,,,,,,,,,,,
356,453414STK,Goudse Kaas 48+ Jong Stuk Voordeelverpakking 1000g,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,[],False,EUR,599,kg,EUR,599.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/140920210041_453414STK-1_360x360.png', 'height': 360, 'width': 360}]",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,1000 g,,,,,,,,,,,,,,,,,
357,189693PAK,Jumbo Luchtige Crackers Volkoren met Rijstebloem 2 x 125g,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,[],False,EUR,78,kg,EUR,312.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/120520190208_189693PAK-1_360x360.png', 'height': 360, 'width': 360}]",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,2 x 125 g,,,,,,,,,,,,,,,,,
358,220628ZK,Jumbo Kroepoek Cassave 75g,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,[],False,[],False,EUR,98,kg,EUR,1307.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/131220192237_220628ZK-1_360x360.png', 'height': 360, 'width': 360}]",https://www.jumbo.com/INTERSHOP/web/WFS/Jumbo-Grocery-Site/nl_NL/-/EUR/ViewPromotionAttachment-OpenFile?LocaleId=nl_NL&DirectoryPath=0003-Kies%26Mix&FileName=Kies%20%26%20Mix.png&UnitName=Jumbo-Grocery,https://www.jumbo.com/INTERSHOP/web/WFS/Jumbo-Grocery-Site/nl_NL/-/EUR/ViewPromotionAttachment-OpenFile?LocaleId=nl_NL&DirectoryPath=0003-Kies%26Mix&FileName=Kies%20%26%20Mix.png&UnitName=Jumbo-Grocery,75 g,1304037-C-1,Kies & Mix Jumbo kroepoek,Kies & Mix Jumbo kroepoek,"https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2021/Kroepoek,%203%20voor%202,00%20euro.png",1622584860000.0,1641337140000.0,Geldig vanaf wo 2 jun. t/m di 4 jan. 2022,3 zakken à 66-75 gram,False,"[{'type': 'tag', 'text': '3 voor € 2,00'}]",https://www.jumbo.com/INTERSHOP/web/WFS/Jumbo-Grocery-Site/nl_NL/-/EUR/ViewPromotionAttachment-OpenFile?LocaleId=nl_NL&DirectoryPath=0003-Kies%26Mix&FileName=Kies%20%26%20Mix.png&UnitName=Jumbo-Grocery,[],True,,,,
359,351875PAK,Ontbijtspek Gerookt 150g,"[{'defaultAmount': 1, 'minimumAmount': 1, 'amountStep': 1, 'unit': 'pieces', 'maximumAmount': 99}]",True,Product,"['193930PAK', '173253KST', '193878PAK']",False,['https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/tht-10+.png'],False,EUR,139,kg,EUR,927.0,"[{'url': 'https://ish-images-static.prod.cloud.jumbo.com/product_images/140220200852_351875PAK-1_360x360.png', 'height': 360, 'width': 360}]",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Site/Grocery/Jumbo-Grocery/nl_NL/PIMProductBadge/alp.png?test,150 g,,,,,,,,,,,,,,,,,
